big_occupation,company,company_url,job_tag,job_title,job_url,language,locate,max_salary,min_salary,small_occupation
エンジニア・技術職（電気/電子/機械/半導体）,株式会社 アウトソーシングテクノロジー PS部,https://green-japan.com/company/5742,【未経験歓迎】メンテナンスエンジニア,ゼロからものづくりエンジニアになりませんか？,https://www.green-japan.com/job/75773,,三重県,,330万円,生産技術（設備）・生産管理・プロセス開発
エンジニア・技術職（システム/ネットワーク）,株式会社 アウトソーシングテクノロジー PS部,https://green-japan.com/company/5742,システムエンジニア（山形）,【システムエンジニア（山形）】大手半導体メーカー工場の生産管理システムを担当！,https://www.green-japan.com/job/66877,C#，C，C++，ASP，ASP.NET，SQL，Java，IoT，oracle,山形県,550万円,300万円,システム開発（制御・組み込み）
エンジニア・技術職（システム/ネットワーク）,株式会社 アウトソーシングテクノロジー PS部,https://green-japan.com/company/5742,システムエンジニア（群馬）,【システムエンジニア（群馬）】大手半導体メーカー工場の生産管理システムを担当！,https://www.green-japan.com/job/66876,C#，C，C++，ASP，ASP.NET，SQL，Java，IoT，oracle,群馬県,550万円,300万円,システム開発（制御・組み込み）
エンジニア・技術職（システム/ネットワーク）,株式会社 アウトソーシングテクノロジー PS部,https://green-japan.com/company/5742,システムエンジニア（東京）,【システムエンジニア（東京）】大手半導体メーカー工場の生産管理システムを担当！,https://www.green-japan.com/job/74987,C#，C，C++，ASP，ASP.NET，SQL，Java，IoT，oracle,東京都,550万円,300万円,システム開発（制御・組み込み）
エンジニア・技術職（システム/ネットワーク）,株式会社 アウトソーシングテクノロジー PS部,https://green-japan.com/company/5742,システムエンジニア（大分SC）,【システムエンジニア（大分SC）】大手半導体メーカー工場の生産管理システムを担当！,https://www.green-japan.com/job/77839,SQL，Java，IoT，oracle,大分県,550万円,300万円,システム開発（Web/オープン系）
エンジニア・技術職（システム/ネットワーク）,株式会社 アウトソーシングテクノロジー PS部,https://green-japan.com/company/5742,システムエンジニア（関西DC）,【システムエンジニア（関西DC）】大手半導体メーカー工場の生産管理システムを担当！,https://www.green-japan.com/job/77836,C#，C，ASP，ASP.NET，SQL，Java，IoT，oracle,大阪府,550万円,300万円,システム開発（Web/オープン系）
エンジニア・技術職（システム/ネットワーク）,株式会社 アウトソーシングテクノロジー PS部,https://green-japan.com/company/5742,システムエンジニア（熊本）,【システムエンジニア（熊本）】大手半導体メーカー工場の生産管理システムを担当！,https://www.green-japan.com/job/66879,C#，C，C++，ASP，ASP.NET，SQL，Java，IoT，oracle,熊本県,550万円,300万円,システム開発（制御・組み込み）
エンジニア・技術職（システム/ネットワーク）,株式会社 アウトソーシングテクノロジー PS部,https://green-japan.com/company/5742,システムエンジニア（茨城）,【システムエンジニア（茨城）】大手半導体メーカー工場の生産管理システムを担当！,https://www.green-japan.com/job/66875,C#，C，C++，ASP，ASP.NET，SQL，Java，IoT，oracle,茨城県,550万円,300万円,システム開発（Web/オープン系）
営業職,株式会社 アウトソーシングテクノロジー PS部,https://green-japan.com/company/5742,システム営業,【営業】システム提案営業 ※売上601億規模・東証一部上場のグループ企業,https://www.green-japan.com/job/66889,,茨城県,600万円,330万円,ルートセールス
エンジニア・技術職（システム/ネットワーク）,株式会社 アジアピクチャーズエンタテインメント,https://green-japan.com/company/6540,バングラデシュ駐在のブリッジＳＥ,海外勤務！世界唯一の人材を目指せる！バングラデシュ駐在エンジニア募集！運転手付きで車通勤可能。広い家を社宅として提供。,https://www.green-japan.com/job/86748,C#，C，C++，JavaScript，ASP，ASP.NET，SQL，PHP，Java，MySQL，oracle,海外,600万円,500万円,その他システム関連
クリエイティブ職（Web）,株式会社 アジアピクチャーズエンタテインメント,https://green-japan.com/company/6540,UI / UX Webデザイナー,【動画あり】入社祝金20万円【WebのUI/UX/デザイナー】／目指せ年収1000万円以上／毎月昇給有り／6期連続増益（売上70億円）／出社義務無しフルフレックス／結果重視の裁量大きな仕事,https://www.green-japan.com/job/89556,,東京都,1000万円,360万円,Webデザイナー・UI/UXデザイナー
クリエイティブ職（Web）,株式会社 アジアピクチャーズエンタテインメント,https://green-japan.com/company/6540,Webデザイナー,【動画あり】入社祝金20万円【Webデザイナー】／目指せ年収1000万円以上／毎月昇給有り／6期連続増益（売上70億円）／出社義務無しフルフレックス／結果重視の裁量大きな仕事,https://www.green-japan.com/job/85644,,東京都,1000万円,360万円,Webデザイナー・UI/UXデザイナー
エンジニア・技術職（システム/ネットワーク）,株式会社 アジアピクチャーズエンタテインメント,https://green-japan.com/company/6540,Webエンジニア,【動画あり】入社祝金20万円【Webエンジニア】／目指せ年収1000万円以上／毎月昇給有り／6期連続増益（売上70億円）／出社義務無しフルフレックス／結果重視の裁量大きな仕事,https://www.green-japan.com/job/88934,JavaScript，PHP，Android，MySQL,東京都,1000万円,420万円,システム開発（Web/オープン系）
